pid,type,n_cases,time_sec,oracle,oracle_score,oracle_passed,n_ok,trials,p50,p90,mean,min,max,std
53,interactive,1,2.0,gpt5.2_1,33.52,False,10,10,1.776,1.834,1.786,1.739,1.836,0.037
132,interactive,10,0.25,gpt5.2,0.0,False,10,10,1.006,1.022,1.006,0.982,1.022,0.014
83,default,1,3.0,gpt5.2,100.0,True,10,10,2.366,2.545,2.397,2.301,2.553,0.09
109,default,10,1.0,gpt5.2_2,99.983745,False,10,10,4.534,4.817,4.367,3.796,4.845,0.412
140,interactive,10,1.0,gpt5.2_1,20.0,False,10,10,2.53,2.626,2.542,2.474,2.696,0.065
24,default,10,1.0,gpt5.2_3,70.87999999999998,False,10,10,1.961,2.005,1.9,1.23,2.035,0.226
256,interactive,10,1.0,gpt5.2_1,44.57,False,10,10,1.77,1.789,1.77,1.724,1.819,0.024
229,default,7,2.0,gpt5.2,38.230000000000004,False,10,10,1.022,1.115,1.091,0.99,1.766,0.225
47,default,15,1.0,gpt5.2,88.80055333333333,False,10,10,2.308,2.354,2.289,2.147,2.382,0.071
104,interactive,10,2.0,gpt5.2,0.0,False,10,10,2.643,2.801,2.668,2.59,2.819,0.079
11,default,10,2.0,gpt5.2,30.0,False,10,10,1.929,2.035,1.938,1.828,2.091,0.074
178,default,20,1.0,gpt5.2_1,92.80159,False,10,10,4.242,4.352,4.25,4.134,4.367,0.079
183,default,10,2.0,gpt5.2_2,100.0,True,10,10,6.04,6.12,6.046,5.934,6.218,0.079
187,default,10,2.0,gpt5.2_1,81.34900000000002,False,10,10,5.657,5.778,5.541,5.088,5.856,0.283
228,default,20,1.0,gpt5.2,100.0,True,10,10,4.103,4.189,4.058,3.473,4.193,0.202
86,interactive,10,2.0,gpt5.2_1,0.0,False,10,10,2.539,2.631,2.516,2.004,2.772,0.188
4,interactive,5,5.0,gpt5.2_1,83.96000000000001,False,10,10,3.803,4.055,3.837,3.537,4.117,0.169
122,interactive,10,3.0,gpt5.2,5.4,False,10,10,1.288,1.361,1.292,1.151,1.384,0.072
192,default,30,1.0,gpt5.2,0.0,False,10,10,6.051,6.543,6.135,5.519,6.926,0.375
253,interactive,10,3.0,gpt5.2,0.0,False,10,10,1.377,1.493,1.382,1.227,1.564,0.093
60,interactive,10,3.0,gpt5.2_2,93.27149,False,10,10,1.055,1.278,1.098,0.986,1.299,0.106
144,interactive,10,4.0,gpt5.2_2,44.93000000000001,False,10,10,1.042,1.138,1.058,0.999,1.15,0.053
30,interactive,10,4.0,gpt5.2,70.78999999999999,False,10,10,1.758,1.877,1.794,1.726,1.899,0.06
5,default,10,4.0,gpt5.2_2,30.000000000000004,False,10,10,1.954,2.038,1.966,1.904,2.044,0.049
16,interactive,10,5.0,gpt5.2,50.096000000000004,False,10,10,5.002,5.362,5.056,4.763,5.521,0.258
70,interactive,11,5.0,gpt5.2_2,83.60272727272726,False,10,10,2.976,3.154,2.746,2.041,3.171,0.452
57,interactive,15,5.0,gpt5.2_1,22.44666666666667,False,10,10,1.291,1.816,1.408,1.255,2.02,0.255
120,interactive,100,1.0,gpt5.2_1,69.92930000000001,False,10,10,2.314,2.481,2.411,2.262,3.269,0.289
209,interactive,10,10.0,gpt5.2,0.0,False,10,10,21.107,22.052,20.611,18.144,22.555,1.497
263,default,10,10.0,reference2,95.14022125208,False,10,10,5.409,5.663,5.358,5.004,5.826,0.277
73,interactive,100,1.0,gpt5.2,80.08010000000003,False,10,10,20.354,20.946,20.483,20.089,21.022,0.35
0,default,70,2.0,gpt5.2,43.771091350000006,False,10,10,2.103,2.159,2.102,2.037,2.184,0.043
231,interactive,10,15.0,gpt5.2,0.0,False,10,10,61.501,61.654,61.453,61.053,61.7,0.196
61,default,57,3.0,gpt5.2_1,0.0,False,10,10,5.997,6.266,6.089,5.92,6.551,0.187
149,interactive,75,10.0,gpt5.2,0.0,False,10,10,1.793,5.778,5.732,1.722,41.202,11.823
153,interactive,75,10.0,gpt5.2,0.0,False,10,10,1.829,5.934,5.859,1.777,42.098,12.08
160,interactive,75,10.0,gpt5.2_1,13.349066666666666,False,10,10,1.824,1.862,1.765,1.304,1.9,0.169
150,default,100,10.0,gpt5.2_2,24.090600000000002,False,10,10,28.068,29.412,29.189,27.853,39.249,3.356
152,default,100,10.0,gpt5.2,0.3127,False,10,10,2.001,2.057,2.007,1.965,2.068,0.032
165,default,150,10.0,gpt5.2,6.235599999999996,False,10,10,2.854,2.901,2.8,2.144,3.053,0.227
168,default,150,10.0,gpt5.2,0.0,False,10,10,2.117,2.136,2.05,1.445,2.154,0.203
